CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0022000006459512WH;15/07/2016;4;0,095;R;
ES0022000006459512WH;15/07/2016;5;0,049;R;
ES0022000006459512WH;15/07/2016;6;0,914;R;
ES0022000006459512WH;15/07/2016;7;0,594;R;
ES0022000006459512WH;15/07/2016;8;0,207;R;
ES0022000006459512WH;15/07/2016;9;0,103;R;
ES0022000006459512WH;15/07/2016;10;0,031;R;
ES0022000006459512WH;15/07/2016;11;0,03;R;
ES0022000006459512WH;15/07/2016;12;0,098;R;
ES0022000006459512WH;15/07/2016;13;0,098;R;
ES0022000006459512WH;15/07/2016;14;0,047;R;
ES0022000006459512WH;15/07/2016;15;0,03;R;
ES0022000006459512WH;15/07/2016;16;0,108;R;
ES0022000006459512WH;15/07/2016;17;0,142;R;
ES0022000006459512WH;15/07/2016;18;0,102;R;
ES0022000006459512WH;15/07/2016;19;0,038;R;
ES0022000006459512WH;15/07/2016;20;0,034;R;
ES0022000006459512WH;15/07/2016;21;0,108;R;
ES0022000006459512WH;15/07/2016;22;0,478;R;
ES0022000006459512WH;15/07/2016;23;0,161;R;
ES0022000006459512WH;15/07/2016;24;0,07;R;
ES0022000006459512WH;16/07/2016;1;0,129;R;
ES0022000006459512WH;16/07/2016;2;0,098;R;
ES0022000006459512WH;16/07/2016;3;0,031;R;
ES0022000006459512WH;16/07/2016;4;0,039;R;
ES0022000006459512WH;16/07/2016;5;0,094;R;
ES0022000006459512WH;16/07/2016;6;0,98;R;
ES0022000006459512WH;16/07/2016;7;0,648;R;
ES0022000006459512WH;16/07/2016;8;0,044;R;
ES0022000006459512WH;16/07/2016;9;0,095;R;
ES0022000006459512WH;16/07/2016;10;0,123;R;
ES0022000006459512WH;16/07/2016;11;0,049;R;
ES0022000006459512WH;16/07/2016;12;0,071;R;
ES0022000006459512WH;16/07/2016;13;0,124;R;
ES0022000006459512WH;16/07/2016;14;0,121;R;
ES0022000006459512WH;16/07/2016;15;0,378;R;
ES0022000006459512WH;16/07/2016;16;0,2;R;
ES0022000006459512WH;16/07/2016;17;0,143;R;
ES0022000006459512WH;16/07/2016;18;0,49;R;
ES0022000006459512WH;16/07/2016;19;0,381;R;
ES0022000006459512WH;16/07/2016;20;0,346;R;
